# x_m,y_m
-46.312196,-162.0649595
-50.980219,-161.174994
-55.625434,-160.255685
-60.247472,-159.3076105
-64.846115,-158.331508
-69.421252,-157.3281705
-73.972806,-156.298363
-78.50073,-155.242835
-83.005014,-154.162316
-87.485676,-153.0575155
-91.942755,-151.9291215
-96.376327,-150.7777995
-100.78647,-149.6042025
-105.173294,-148.4089685
-109.536808,-147.192534
-113.876324,-145.954868
-118.19097,-144.695746
-122.481012,-143.415677
-126.747577,-142.1160945
-130.991906,-140.7984855
-135.215349,-139.4642055
-139.419235,-138.114577
-143.60495,-136.7508835
-147.773868,-135.3744105
-151.926686,-133.985845
-156.062987,-132.5849735
-160.181936,-131.1713725
-164.282765,-129.744657
-168.364677,-128.3044415
-172.42684,-126.850339
-176.468456,-125.3819825
-180.489066,-123.8992865
-184.488684,-122.402471
-188.467415,-120.891793
-192.42532,-119.367502
-196.362489,-117.829846
-200.27902,-116.2790685
-204.175011,-114.715412
-208.050576,-113.1391165
-211.905827,-111.550419
-215.740808,-109.949493
-219.553557,-108.3354185
-223.331537,-106.7013265
-227.047892,-105.0322205
-230.676151,-103.3148705
-234.189689,-101.538709
-237.557196,-99.6933395
-240.744379,-97.769691
-243.713025,-95.760603
-246.420661,-93.661762
-248.821951,-91.4722055
-250.865797,-89.19421
-252.493417,-86.832698
-253.625319,-84.4017285
-254.187704,-81.9242195
-254.254696,-79.4268115
-253.972027,-76.9321655
-253.460055,-74.447383
-252.830488,-71.968863
-252.191118,-69.4905835
-251.649674,-67.006925
-251.313856,-64.514025
-251.288984,-62.0175405
-251.655156,-59.5288695
-252.482497,-57.0663645
-253.817701,-54.6608995
-255.599862,-52.3275975
-257.718788,-50.0653065
-260.103024,-47.870989
-262.714614,-45.7416975
-265.518481,-43.6740625
-268.480616,-41.662481
-271.571788,-39.7002
-274.759889,-37.7772795
-278.003998,-35.877795
-281.282688,-33.9930695
-284.590918,-32.121255
-287.926577,-30.2616475
-291.288143,-28.4137415
-294.674924,-26.5773765
-298.086555,-24.752555
-301.522687,-22.9392675
-304.983076,-21.13754
-308.467225,-19.347337
-311.975353,-17.5689
-315.509384,-15.803306
-319.071953,-14.0521085
-322.6656,-12.316872
-326.292872,-10.599213
-329.956221,-8.9007885
-333.658258,-7.223469
-337.400186,-5.568475
-341.178252,-3.9341975
-344.983223,-2.3155245
-348.806213,-0.7074415
-352.638965,0.894878
-356.472997,2.4964025
-360.300041,4.102026
-364.106046,5.72012
-367.871467,7.361946
-371.573629,9.039192
-375.190942,10.7618675
-378.714017,12.532909
-382.141434,14.3504035
-385.470417,16.2129475
-388.688055,18.1236425
-391.772723,20.088334
-394.695168,22.1139465
-397.4287,24.20451
-399.973404,26.3539655
-402.344739,28.5523765
-404.555817,30.792136
-406.610266,33.068922
-408.508278,35.379442
-410.250325,37.7204885
-411.83669,40.089046
-413.267647,42.4822265
-414.543075,44.897291
-415.666971,47.331107
-416.648179,49.7803165
-417.49651,52.241914
-418.221755,54.7133375
-418.833766,57.1924165
-419.342391,59.6773325
-419.757381,62.1665965
-420.086482,64.659077
-420.336257,67.153865
-420.513224,69.650214
-420.623924,72.1475215
-420.674887,74.6453165
-420.672636,77.143245
-420.623672,79.641058
-420.534477,82.138596
-420.41151,84.635779
-420.261205,87.13259
-420.089978,89.629067
-419.904222,92.1252855
-419.710318,94.62135
-419.514593,97.1173805
-419.323275,99.6134965
-419.14256,102.10981
-418.978654,104.6064125
-418.837764,107.1033645
-418.726112,109.600684
-418.649931,112.0983365
-418.616032,114.596196
-418.637906,117.0940165
-418.752146,119.591193
-419.019572,122.085481
-419.497929,124.5718395
-420.240877,127.0417045
-421.300964,129.4822055
-422.742557,131.8731615
-424.637431,134.183443
-427.048277,136.369694
-430.014865,138.3775285
-433.53231,140.1484055
-437.559376,141.619689
-442.014521,142.739035
-446.770809,143.496312
-451.690131,143.9277705
-456.675427,144.090803
-461.669943,144.037254
-466.648105,143.8266445
-471.612304,143.543764
-476.577897,143.2683135
-481.558782,143.0722705
-486.552906,143.0308425
-491.532104,143.2112575
-496.450109,143.64205
-501.261533,144.3101505
-505.933012,145.1926455
-510.439514,146.269069
-514.76126,147.520985
-518.884273,148.9306485
-522.79905,150.48183
-526.499451,152.1595285
-529.982151,153.9500105
-533.246641,155.84054
-536.295038,157.8192755
-539.131335,159.875378
-541.761029,161.9990515
-544.190892,164.1814625
-546.428608,166.4146765
-548.482816,168.6915515
-550.363524,171.0056235
-552.081891,173.351069
-553.649637,175.7227525
-555.078943,178.116221
-556.382343,180.5276125
-557.5727,182.9535775
-558.662685,185.391322
-559.663728,187.838603
-560.586494,190.293529
-561.442237,192.754485
-562.242874,195.220105
-562.997382,197.6893885
-563.709267,200.161835
-564.380434,202.6371285
-565.01268,205.1149825
-565.607812,207.595134
-566.167637,210.077341
-566.693972,212.5613785
-567.188632,215.047043
-567.653437,217.534148
-568.090319,220.022518
-568.501412,222.511987
-568.888916,225.002403
-569.255013,227.4936285
-569.601746,229.9855435
-569.93039,232.4780665
-570.241206,234.971164
-570.534357,237.464802
-570.810274,239.958933
-571.069443,242.4535125
-571.312351,244.948501
-571.539483,247.443862
-571.751341,249.9395575
-571.948362,252.4355575
-572.130515,254.9318405
-572.297314,257.42839
-572.448245,259.925191
-572.582808,262.422227
-572.700498,264.919476
-572.80081,267.4169145
-572.88324,269.9145165
-572.94728,272.4122535
-572.992423,274.9100935
-573.018158,277.408002
-573.023975,279.9059425
-573.009362,282.4038745
-572.97379,284.9017505
-572.916918,287.3995295
-572.838959,289.8971705
-572.740425,292.394628
-572.621773,294.891867
-572.483482,297.388854
-572.326022,299.885557
-572.149863,302.381948
-571.955477,304.878
-571.74333,307.3736905
-571.513891,309.8689985
-571.267626,312.363905
-571.005001,314.858394
-570.726479,317.352451
-570.432534,319.846064
-570.123528,322.3392195
-569.799499,324.8319
-569.460319,327.3240775
-569.105894,329.8157235
-568.736113,332.3068125
-568.350871,334.797315
-567.950063,337.2872035
-567.533583,339.776449
-567.101324,342.265022
-566.65318,344.7528925
-566.189046,347.2400295
-565.708816,349.726403
-565.212384,352.2119805
-564.699647,354.6967305
-564.170508,357.180621
-563.624914,359.66362
-563.062938,362.145704
-562.484694,364.626855
-561.890009,367.107037
-561.278483,369.5861965
-560.649757,372.06428
-560.003538,374.5412385
-559.339541,377.017021
-558.657481,379.4915755
-557.957074,381.964849
-557.238038,384.436787
-556.500079,386.9073275
-555.742995,389.37642
-554.966914,391.84404
-554.172177,394.310173
-553.359099,396.774811
-552.528,399.2379465
-551.679198,401.6995715
-550.813012,404.159683
-549.929754,406.618276
-549.02974,409.075349
-548.11328,411.5309025
-547.180686,413.9849365
-546.232268,416.437454
-545.268339,418.88846
-544.289209,421.33796
-543.295023,423.785944
-542.285631,426.232371
-541.260796,428.677192
-540.220304,431.120359
-539.163935,433.561822
-538.091471,436.0015305
-537.002693,438.4394315
-535.897384,440.8754715
-534.775325,443.3095965
-533.6363,445.741751
-532.48009,448.1718745
-531.306435,450.5999125
-530.111586,453.0253165
-528.863697,455.443499
-527.466409,457.8411135
-525.810083,460.1992045
-523.836557,462.495165
-521.491818,464.7014275
-518.717714,466.776124
-515.458855,468.66585
-511.700478,470.299578
-507.459758,471.609043
-502.89693,472.638039
-498.18209,473.4627295
-493.382715,474.1596075
-488.55672,474.812386
-483.755503,475.504109
-479.02894,476.3082115
-474.435828,477.2851735
-470.032568,478.462395
-465.848912,479.826196
-461.897401,481.3535395
-458.186422,483.0251905
-454.719451,484.823196
-451.491586,486.7293535
-448.492512,488.726785
-445.709681,490.801023
-443.131192,492.940342
-440.745855,495.135069
-438.541184,497.376577
-436.502665,499.657078
-434.613928,501.9696215
-432.857676,504.3081375
-431.216031,506.6673925
-429.670682,509.0428735
-428.202805,511.4305205
-426.793709,513.8269165
-425.431197,516.230104
-424.108349,518.638887
-422.817466,521.051998
-421.551166,523.4683665
-420.305043,525.8873515
-419.07759,528.308724
-417.867841,530.732325
-416.674527,533.157957
-415.496786,535.5854945
-414.334495,538.014896
-413.187697,540.4461355
-412.056433,542.8791945
-410.94075,545.3140515
-409.840691,547.7506855
-408.756301,550.1890745
-407.687624,552.629197
-406.634704,555.0710315
-405.597586,557.5145565
-404.576313,559.959749
-403.57093,562.4065875
-402.581481,564.8550495
-401.608016,567.3051125
-400.650723,569.756767
-399.71035,572.210054
-398.787946,574.6650455
-397.884102,577.121767
-396.999061,579.580201
-396.133064,582.0403295
-395.286382,584.5021385
-394.459288,586.9656115
-393.652063,589.430731
-392.86502,591.897483
-392.098508,594.3658495
-391.352917,596.8358155
-390.628857,599.307384
-389.927153,601.780564
-389.248653,604.2553605
-388.594199,606.731776
-387.964636,609.209804
-387.360813,611.6894325
-386.783578,614.1706435
-386.233782,616.6534125
-385.712279,619.1377065
-385.219923,621.623487
-384.757572,624.1107075
-384.326083,626.5993135
-383.926328,629.089245
-383.559083,631.580428
-383.224798,634.0727705
-382.923739,636.566172
-382.656186,639.060529
-382.422417,641.5557335
-382.222706,644.0516775
-382.057333,646.548249
-381.926572,649.045333
-381.830702,651.542812
-381.770001,654.0405665
-381.744745,656.5384725
-381.755217,659.0364045
-381.801692,661.534231
-381.884443,664.031821
-382.004031,666.529039
-382.161424,669.0257335
-382.357705,671.521739
-382.593929,674.01688
-382.871162,676.510966
-383.190468,679.003794
-383.552912,681.4951465
-383.959564,683.984793
-384.411493,686.472487
-384.909768,688.957967
-385.455464,691.440955
-386.049642,693.9211665
-386.69339,696.3982785
-387.387657,698.871961
-388.132745,701.3419465
-388.927462,703.808073
-389.769203,706.270297
-390.654934,708.7286605
-391.581622,711.1832475
-392.546251,713.6341775
-393.545821,716.081605
-394.577349,718.525716
-395.637865,720.9667235
-396.724409,723.4048685
-397.834038,725.840412
-398.963808,728.273637
-400.110775,730.704849
-401.272343,733.134327
-402.446524,735.5622935
-403.631523,737.9889505
-404.825512,740.414507
-406.026679,742.8391775
-407.233214,745.2631825
-408.443311,747.6867455
-409.65516,750.1100865
-410.866968,752.5334395
-412.076902,754.957016
-413.283153,757.38105
-414.481547,759.805855
-415.646115,762.234289
-416.675502,764.678081
-417.416091,767.148642
-417.709565,769.6424705
-417.394606,772.133922
-416.305886,774.5707525
-414.281663,776.855978
-411.242391,778.82687
-407.20304,780.267428
-402.438143,780.970832
-397.465041,780.9769015
-392.605745,780.416043
-388.063064,779.3774935
-383.986888,777.937224
-380.433374,776.1833245
-377.405639,774.197985
-374.872067,772.046392
-372.780101,769.778531
-371.085569,767.429157
-369.749796,765.022674
-368.726054,762.578115
-367.969984,760.109171
-367.438775,757.625547
-367.087894,755.133882
-366.872725,752.638312
-366.748495,750.141193
-366.670512,747.6435905
-366.594263,745.145987
-366.476194,742.648812
-366.274115,740.1529885
-365.947006,737.660709
-365.462803,735.1750515
-364.81172,732.698677
-363.996787,730.234226
-363.02311,727.784233
-361.899805,725.3503035
-360.639221,722.933232
-359.253771,720.5333155
-357.755454,718.1504085
-356.155944,715.783991
-354.466793,713.433185
-352.698888,711.0969
-350.861238,708.7740915
-348.961593,706.463763
-347.007538,704.164802
-345.006566,701.875948
-342.966034,699.5958375
-340.893191,697.3230215
-338.795182,695.05599
-336.679016,692.793224
-334.552979,690.532809
-332.427727,688.2721875
-330.309988,686.0097775
-328.201514,683.7452
-326.10281,681.478354
-324.014119,679.2091965
-321.935343,676.937764
-319.866277,674.6641175
-317.806729,672.388312
-315.756503,670.110403
-313.715408,667.830445
-311.68325,665.548492
