# x_m,y_m,w_tr_right_m,w_tr_left_m
-564.289293,872.029132,4.202,4.227
-564.749231,881.979632,4.207,4.188
-565.181965,891.936702,4.212,4.154
-565.591188,901.899574,4.216,4.120
-565.980589,911.86748,4.221,4.086
-566.353861,921.839652,4.225,4.053
-566.714694,931.815326,4.229,4.019
-567.066778,941.793732,4.240,4.018
-567.413806,951.774106,4.257,4.046
-567.759468,961.755676,4.273,4.075
-568.107455,971.73768,4.290,4.103
-568.461458,981.71935,4.306,4.132
-568.825168,991.699916,4.323,4.161
-569.202276,1001.678612,4.339,4.189
-569.595958,1011.654746,4.356,4.218
-570.004094,1021.62838,4.372,4.246
-570.421459,1031.600016,4.389,4.275
-570.842786,1041.570168,4.405,4.303
-571.262808,1051.539344,4.422,4.332
-571.676258,1061.508056,4.438,4.361
-572.07787,1071.476816,4.455,4.389
-572.462377,1081.446134,4.472,4.418
-572.824512,1091.416518,4.476,4.447
-573.15901,1101.388484,4.418,4.480
-573.460602,1111.362538,4.360,4.513
-573.724024,1121.339192,4.303,4.546
-573.944007,1131.318958,4.245,4.579
-574.115287,1141.302346,4.188,4.612
-574.234569,1151.289636,4.199,4.548
-574.304314,1161.280432,4.209,4.485
-574.328031,1171.274214,4.220,4.421
-574.309227,1181.270466,4.247,4.347
-574.251413,1191.268668,4.364,4.216
-574.158096,1201.2683,4.482,4.084
-574.032786,1211.268846,4.534,3.999
-573.878989,1221.269786,4.326,4.111
-573.700216,1231.270602,4.257,4.190
-573.499974,1241.270776,4.188,4.268
-573.281772,1251.26979,4.119,4.347
-573.049119,1261.267122,4.050,4.425
-572.805524,1271.262258,3.985,4.500
-572.554492,1281.254676,4.064,4.468
-572.298358,1291.244,4.144,4.436
-572.036057,1301.230248,4.223,4.404
-571.765919,1311.213518,4.302,4.372
-571.486272,1321.1939,4.381,4.340
-571.195445,1331.171492,4.460,4.308
-570.891767,1341.146386,4.539,4.276
-570.573566,1351.118678,4.521,4.264
-570.239171,1361.088458,4.398,4.273
-569.886911,1371.055824,4.275,4.283
-569.515114,1381.02087,4.152,4.292
-569.122109,1390.983686,4.029,4.302
-568.706224,1400.94437,3.952,4.317
-568.265789,1410.903016,3.963,4.344
-567.799137,1420.859684,3.974,4.372
-567.304728,1430.81373,3.985,4.399
-566.781143,1440.763836,3.997,4.427
-566.226965,1450.70865,4.049,4.375
-565.640779,1460.646822,4.132,4.263
-565.021171,1470.577004,4.215,4.150
-564.366726,1480.497848,4.298,4.038
-563.676027,1490.408002,4.368,4.006
-562.94766,1500.306116,4.429,4.030
-562.180209,1510.190842,4.490,4.053
-561.37226,1520.060832,4.533,4.090
-560.522397,1529.914734,4.427,4.241
-559.629205,1539.7512,4.321,4.393
-558.69127,1549.56888,4.215,4.544
-557.70785,1559.366822,4.173,4.644
-556.681672,1569.146118,4.174,4.711
-555.616568,1578.908512,4.176,4.778
-554.516369,1588.655746,4.171,4.673
-553.384908,1598.389562,4.163,4.467
-552.226017,1608.111706,4.155,4.261
-551.043528,1617.82392,4.147,4.056
-549.841273,1627.527948,4.151,4.025
-548.623085,1637.225532,4.158,4.041
-547.392796,1646.918416,4.165,4.056
-546.154238,1656.608342,4.172,4.072
-544.911243,1666.297056,4.179,4.088
-543.667643,1675.9863,4.186,4.104
-542.427245,1685.677804,4.192,4.119
-541.192129,1695.372396,4.199,4.135
-539.961615,1705.069464,4.206,4.151
-538.73478,1714.768268,4.213,4.166
-537.510697,1724.46807,4.220,4.182
-536.288441,1734.168128,4.227,4.198
-535.067085,1743.867698,4.234,4.214
-533.845705,1753.566046,4.241,4.229
